.,,,,,,,,,,,,,,,,,,,,
.,,,HH,,,,,,,,,,90,,,,,90,,
.,O1,,,90,HH,90,,,,,,,,,90,,,,,
.,,,,,,,,,,,,HH,,,,,HH,,,
.,,,,90,,,,90,,,,,90,,90,,,,,
.,,,,,,,HH,,,,,,,,,,,,,
.,SR,,,,,90,,90,,,,,,,,,,SR,,
.,,HH,,,,,,,,HH,,,,HH,,,HH,,,
.,,,,90,,,,,,SR,,,,,,,,90,,HH
.,90,,,,90,,HH,,,,HH,,,,,,,,,
.,,,HH,90,,,,,90,,,,,,HH,,,,,
.,,,,,,,HH,,,,,,,,,90,,90,,90
.,,,,,90,,,,90,,,HH,,,,,90,,,
.,,,,,,,,,,,,,,,,,,,,
.,,,,,,,,,,,,">No balls were lost in making this puzzle
I did lose my marbles, but that's a little different",,,,,,,,
